Shucked,Viscera,Shell,Weight
0.21,0.1295,0.2515,0.6635
0.5115,0.349,0.3065,1.235
0.1905,0.17,0.3205,0.7565
0.167,0.118,0.187,0.57
0.215,0.2065,0.17,0.6245
0.219,0.155,0.2,0.6905
0.0625,0.05,0.07,0.2
0.259,0.1445,0.175,0.6265
0.2765,0.1455,0.135,0.6015
0.4475,0.2355,0.2485,0.983
0.5885,0.191,0.3175,1.4405
0.6235,0.2835,0.35,1.332
0.587,0.2175,0.288,1.1405
0.6675,0.259,0.33,1.33
0.593,0.314,0.431,1.4995
0.6555,0.299,0.513,1.6225
0.713,0.358,0.4535,1.925
0.694,0.371,0.474,1.689
0.8715,0.2655,0.4395,1.659
0.75,0.4195,0.6095,2.0475
0.707,0.365,0.43,1.6015
1.0685,0.418,0.435,2.0165
0.1945,0.1045,0.1375,0.4555
0.2025,0.1115,0.1165,0.46
0.41,0.208,0.1505,0.828
0.4055,0.2275,0.215,0.889
0.5475,0.159,0.215,0.964
0.44,0.224,0.24,0.963
0.504,0.185,0.2505,0.995
0.3905,0.196,0.2295,0.8585
0.41,0.1815,0.2425,0.888
0.405,0.2215,0.2335,0.9045
0.542,0.269,0.31,1.1775
0.491,0.22,0.287,1.0765
0.412,0.2745,0.289,1.0255
0.3985,0.2245,0.248,0.9325
0.6025,0.274,0.29,1.235
0.5005,0.2495,0.315,1.1575
0.6,0.3015,0.355,1.327
0.5415,0.323,0.3225,1.2705
0.545,0.253,0.345,1.2155
0.6865,0.233,0.3275,1.3245
0.477,0.2365,0.3185,1.127
0.4485,0.2165,0.3595,1.1075
0.659,0.336,0.38,1.4255
0.5455,0.266,0.2885,1.147
0.617,0.317,0.37,1.596
0.556,0.2985,0.37,1.297
0.741,0.2955,0.341,1.4415
0.7855,0.429,0.498,1.933
0.767,0.442,0.4175,1.8495
0.7295,0.3935,0.5165,1.7975
0.9915,0.5005,0.624,2.381
0.4355,0.17,0.201,0.832
0.368,0.215,0.18,0.778
0.434,0.1995,0.185,0.8435
0.4015,0.217,0.255,0.908
0.3875,0.159,0.2285,0.811
0.4235,0.1905,0.248,0.897
0.467,0.203,0.225,0.938
0.3085,0.129,0.2245,0.6955
0.445,0.2615,0.2565,1.0115
0.5415,0.166,0.265,1.1005
0.4505,0.2835,0.293,1.079
0.543,0.246,0.2345,1.055
0.5885,0.209,0.246,1.084
0.484,0.277,0.3095,1.115
0.5775,0.352,0.317,1.285
0.6095,0.2765,0.344,1.2895
0.545,0.228,0.3055,1.122
0.5985,0.3175,0.36,1.349
0.7105,0.3685,0.412,1.551
0.83,0.398,0.405,1.7315
0.8915,0.5265,0.471,2.012
0.2015,0.132,0.162,0.516
0.329,0.147,0.199,0.7055
0.366,0.239,0.275,0.9475
0.551,0.244,0.2785,1.1465
0.5265,0.2025,0.265,1.017
0.4115,0.2325,0.23,0.8975
0.47,0.2155,0.25,0.9865
0.3645,0.185,0.2705,0.844
0.411,0.2065,0.225,0.8755
0.389,0.1715,0.272,0.8725
0.4935,0.201,0.2745,1.0265
0.6005,0.2195,0.307,1.1605
0.5325,0.4365,0.324,1.0125
0.452,0.252,0.265,1.0005
0.49,0.377,0.2875,1.2265
0.6255,0.3375,0.3745,1.4045
0.6525,0.2995,0.422,1.463
0.8365,0.352,0.475,1.711
0.8265,0.417,0.461,1.757
0.4325,0.18,0.1815,0.8435
0.38,0.1805,0.21,0.8035
0.3875,0.1875,0.2035,0.8115
0.3695,0.1745,0.1965,0.782
0.484,0.182,0.2325,0.95
0.465,0.2055,0.2765,0.976
0.535,0.25,0.287,1.1045
0.591,0.259,0.3485,1.254
0.526,0.295,0.4105,1.286
0.4935,0.3155,0.299,1.1665
0.5015,0.289,0.319,1.144
0.8875,0.3095,0.405,1.385
0.524,0.346,0.385,1.309
0.8485,0.2635,0.331,1.527
0.8465,0.407,0.3875,1.719
0.637,0.325,0.435,1.52
0.723,0.3255,0.4945,1.613
0.165,0.102,0.131,0.4085
0.417,0.199,0.24,0.8725
0.347,0.174,0.2265,0.745
0.455,0.18,0.228,0.8765
0.4615,0.232,0.248,0.9705
0.393,0.212,0.2895,0.92
0.363,0.1955,0.195,0.7855
0.4575,0.2435,0.3135,1.056
0.4375,0.2225,0.2775,0.9625
0.4365,0.2715,0.335,1.0915
0.469,0.3315,0.398,1.2735
0.559,0.259,0.3165,1.194
0.545,0.2305,0.29,1.1215
0.5415,0.2865,0.3185,1.198
0.455,0.1865,0.277,0.9545
0.5725,0.207,0.355,1.217
0.437,0.1735,0.28,0.92
0.5505,0.277,0.3885,1.2615
0.548,0.2485,0.34,1.167
0.634,0.2885,0.406,1.3765
0.593,0.3045,0.352,1.29
0.5935,0.2315,0.293,1.151
0.526,0.2925,0.317,1.197
0.753,0.367,0.43,1.6645
0.6215,0.3725,0.4535,1.528
0.7255,0.309,0.405,1.494
0.4975,0.319,0.394,1.277
0.7765,0.397,0.3605,1.5965
0.675,0.2985,0.325,1.3805
0.5755,0.353,0.44,1.527
0.657,0.297,0.355,1.3435
0.391,0.1195,0.1515,0.693
0.508,0.292,0.343,1.183
0.4065,0.198,0.177,0.7905
0.618,0.275,0.2875,1.224
0.4775,0.2105,0.2925,1.007
0.653,0.396,0.41,1.5245
0.5475,0.22,0.3315,1.148
0.5265,0.1915,0.2925,1.136
0.532,0.271,0.354,1.2235
0.634,0.318,0.363,1.3695
0.6205,0.2965,0.326,1.2905
0.6605,0.3395,0.37,1.4265
0.821,0.423,0.726,2.2635
0.385,0.211,0.2315,0.871
0.425,0.1685,0.2425,0.8785
0.4005,0.2025,0.2875,0.921
0.3425,0.195,0.291,0.869
0.469,0.198,0.384,1.089
0.4875,0.259,0.355,1.1635
0.577,0.227,0.3825,1.251
0.4775,0.3035,0.3155,1.145
0.5525,0.2505,0.3015,1.1335
0.559,0.231,0.3355,1.2015
0.5455,0.2615,0.3225,1.204
0.587,0.3165,0.3415,1.2895
0.7765,0.302,0.401,1.5175
0.615,0.3935,0.406,1.494
0.58,0.3855,0.545,1.664
0.667,0.334,0.471,1.5855
0.647,0.4285,0.455,1.666
0.5415,0.3565,0.5965,1.908
1.0135,0.4655,0.48,2.073
0.302,0.1575,0.235,0.728
0.249,0.1375,0.161,0.5685
0.2635,0.122,0.221,0.655
0.1635,0.089,0.1385,0.4705
0.318,0.138,0.208,0.714
0.3115,0.131,0.223,0.6995
0.4895,0.1945,0.2185,0.952
0.362,0.1655,0.236,0.8285
0.5105,0.271,0.352,1.1945
0.536,0.2115,0.1625,1.1655
0.4625,0.2045,0.3105,1.2155
0.7385,0.3525,0.3725,1.5105
0.2215,0.1155,0.185,0.5565
0.6075,0.3055,0.355,1.3235
0.5345,0.2995,0.345,1.2785
0.6755,0.4065,0.6855,1.8745
0.6675,0.3125,0.71,1.978
0.5835,0.3515,0.396,1.367
0.595,0.3025,0.725,1.742
0.232,0.142,0.13,0.513
0.1575,0.089,0.12,0.397
0.097,0.021,0.05,0.204
0.076,0.0365,0.05,0.17
0.33,0.2125,0.245,0.765
0.4365,0.281,0.3805,1.151
0.29,0.158,0.22,0.6765
0.627,0.271,0.475,1.571
0.3245,0.239,0.285,0.872
0.239,0.1235,0.18,0.606
0.229,0.1355,0.165,0.539
0.291,0.133,0.195,0.657
0.1165,0.056,0.0835,0.2685
0.6995,0.387,0.575,1.707
0.3645,0.234,0.235,0.8805
0.237,0.127,0.13,0.4965
0.282,0.145,0.17,0.632
0.3105,0.1915,0.2,0.72
0.426,0.2255,0.32,1.017
0.2585,0.207,0.38,0.98
0.2395,0.1255,0.18,0.578
0.271,0.145,0.215,0.6835
0.1115,0.057,0.08,0.2725
0.5095,0.284,0.51,1.511
0.501,0.295,0.41,1.3035
0.456,0.3205,0.49,1.3955
0.4535,0.27,0.335,1.1345
0.3745,0.326,0.325,1.0835
0.33,0.243,0.21,0.868
0.452,0.275,0.315,1.0915
0.531,0.3075,0.37,1.271
0.4435,0.3105,0.365,1.2355
0.1645,0.106,0.119,0.4135
0.231,0.137,0.145,0.56
0.4835,0.328,0.4,1.2765
0.5215,0.3225,0.365,1.2955
0.4525,0.238,0.42,1.2315
0.6935,0.318,0.47,1.5715
0.396,0.2825,0.37,1.092
0.7785,0.4395,0.515,1.8165
0.694,0.3005,0.44,1.6365
0.464,0.306,0.365,1.213
0.197,0.1145,0.145,0.459
0.194,0.1005,0.13,0.4195
0.375,0.193,0.29,0.8745
0.3345,0.2145,0.29,0.8775
0.58,0.288,0.37,1.3105
0.5035,0.2925,0.33,1.2515
0.5405,0.3175,0.285,1.1705
0.3005,0.1635,0.185,0.6625
0.2105,0.1205,0.12,0.4335
0.402,0.2415,0.31,1.107
0.3195,0.1775,0.24,0.8595
0.192,0.1175,0.175,0.501
0.265,0.124,0.25,0.6735
0.213,0.1075,0.215,0.5555
0.493,0.318,0.565,1.428
0.414,0.26,0.305,1.0385
0.371,0.235,0.28,0.9715
0.6965,0.3025,0.405,1.522
0.4985,0.227,0.315,1.1255
0.4695,0.225,0.27,1.0185
0.262,0.122,0.193,0.6175
0.2615,0.135,0.178,0.597
0.4905,0.3,0.345,1.22
0.437,0.205,0.33,1.0735
0.477,0.23,0.39,1.146
0.4445,0.227,0.39,1.1055
0.6525,0.4875,0.49,1.67
0.6465,0.3705,0.52,1.555
0.302,0.1805,0.265,0.9285
0.3235,0.183,0.22,0.8085
0.1805,0.1165,0.11,0.438
0.483,0.238,0.355,1.166
0.1915,0.1365,0.155,0.507
0.243,0.1335,0.215,0.6345
0.4715,0.3235,0.52,1.4685
0.302,0.1565,0.25,0.7765
0.2475,0.1505,0.1595,0.5885
0.1435,0.0755,0.098,0.3375
0.2905,0.145,0.225,0.6855
0.146,0.0555,0.08,0.314
0.312,0.165,0.2,0.7005
0.1465,0.079,0.14,0.382
0.185,0.09,0.145,0.4435
0.5415,0.309,0.58,1.71
0.3465,0.1785,0.275,0.8575
0.215,0.125,0.1845,0.59
0.166,0.046,0.1345,0.385
0.232,0.141,0.23,0.59
0.224,0.1355,0.185,0.584
0.3535,0.1685,0.205,0.829
0.206,0.098,0.125,0.4385
0.4005,0.2345,0.335,1.073
0.237,0.1715,0.155,0.588
0.2085,0.1805,0.125,0.5325
0.0585,0.0335,0.045,0.1485
0.194,0.1455,0.125,0.487
0.357,0.202,0.385,1.2225
0.1955,0.1215,0.1945,0.559
0.19,0.1025,0.13,0.44
0.249,0.1005,0.148,0.5265
0.432,0.2025,0.337,1.0315
0.4945,0.27,0.371,1.2495
0.444,0.214,0.37,1.148
0.536,0.254,0.316,1.172
0.6565,0.341,0.43,1.5055
0.1955,0.118,0.126,0.4705
0.256,0.1325,0.145,0.569
0.2555,0.1325,0.146,0.5725
0.3205,0.159,0.1915,0.7115
0.43,0.1975,0.2155,0.8815
0.4445,0.171,0.225,0.931
0.4985,0.2145,0.2815,1.065
0.598,0.238,0.315,1.234
0.53,0.315,0.3455,1.2635
0.4925,0.236,0.29,1.0745
0.4495,0.2825,0.345,1.1115
0.525,0.2415,0.405,1.255
0.4915,0.2345,0.353,1.1435
0.7295,0.407,0.4265,1.6885
0.8655,0.4095,0.565,2.0725
0.8045,0.3595,0.4375,1.523
0.509,0.239,0.3065,1.1155
0.2905,0.1165,0.183,0.627
0.4055,0.163,0.2215,0.812
0.4845,0.242,0.22,0.9835
0.491,0.1905,0.289,1.0155
0.4695,0.257,0.348,1.1345
0.592,0.274,0.322,1.233
0.554,0.239,0.32,1.1635
0.4865,0.341,0.288,1.1545
0.667,0.2665,0.355,1.3345
0.7285,0.402,0.385,1.5585
0.556,0.2805,0.4085,1.3275
0.6425,0.3905,0.42,1.492
0.7755,0.3965,0.461,1.7365
0.8605,0.3275,0.398,1.6605
0.7925,0.401,0.468,1.7185
0.28,0.11,0.1375,0.594
0.5305,0.2455,0.308,1.2365
0.4315,0.1915,0.223,0.8875
0.3605,0.221,0.271,0.895
0.4035,0.2275,0.259,0.9355
0.486,0.25,0.294,1.058
0.3425,0.1795,0.2425,0.7955
0.4995,0.2245,0.3205,1.0805
0.441,0.19,0.39,1.059
0.4905,0.2475,0.31,1.088
0.3545,0.1585,0.239,0.776
0.4835,0.221,0.31,1.043
0.605,0.2875,0.319,1.3335
0.564,0.302,0.374,1.273
0.689,0.3905,0.432,1.6275
0.58,0.3485,0.3095,1.3875
0.583,0.1255,0.4,1.2835
0.6485,0.288,0.335,1.3765
0.2865,0.118,0.148,0.5805
0.4585,0.196,0.2065,0.913
0.4635,0.24,0.27,1.0425
0.7045,0.25,0.3045,1.3475
0.4955,0.2645,0.32,1.12
0.565,0.3375,0.315,1.2645
0.583,0.303,0.333,1.275
0.643,0.345,0.37,1.4355
0.573,0.368,0.3905,1.42
0.87,0.5145,0.5675,2.037
0.4205,0.182,0.2225,0.8735
0.2945,0.1315,0.205,0.654
0.437,0.2225,0.32,1.034
0.4325,0.2145,0.2845,0.9855
0.5005,0.1715,0.2575,0.964
0.4565,0.24,0.3085,1.0455
0.49,0.2525,0.279,1.081
0.5095,0.256,0.309,1.122
0.4305,0.2525,0.35,1.1345
0.4525,0.273,0.317,1.0835
0.61,0.2675,0.3605,1.3025
0.516,0.3305,0.375,1.306
0.5985,0.246,0.3825,1.281
0.575,0.3155,0.3885,1.35
0.622,0.309,0.398,1.431
0.8505,0.3615,0.47,1.764
0.5605,0.3045,0.358,1.278
0.6435,0.328,0.4165,1.46
0.7035,0.402,0.4,1.5575
0.62,0.375,0.425,1.4985
0.612,0.394,0.44,1.564
0.873,0.367,0.435,1.792
0.323,0.1325,0.164,0.6475
0.4145,0.199,0.273,0.9145
0.502,0.301,0.311,1.1655
0.914,0.377,0.4095,1.764
0.512,0.322,0.355,1.2635
0.647,0.2485,0.3005,1.238
0.694,0.318,0.3235,1.4045
0.6065,0.2955,0.407,1.37
0.819,0.4025,0.4525,1.8185
0.7105,0.4215,0.516,1.7525
0.346,0.1715,0.2735,0.846
0.3895,0.2325,0.245,0.898
0.333,0.207,0.2985,0.927
0.442,0.2155,0.2875,0.9845
0.4895,0.24,0.343,1.107
0.433,0.2975,0.315,1.072
0.5015,0.24,0.342,1.129
0.5105,0.262,0.39,1.2075
0.528,0.258,0.37,1.227
0.6275,0.27,0.45,1.472
0.678,0.229,0.456,1.5785
0.686,0.318,0.45,1.593
0.5465,0.2815,0.465,1.361
0.607,0.318,0.44,1.4575
0.318,0.121,0.1325,0.5885
0.221,0.117,0.17,0.5375
0.4605,0.2825,0.344,1.137
0.4815,0.2305,0.356,1.1685
0.4735,0.263,0.274,1.059
0.5985,0.395,0.4575,1.541
0.5375,0.38,0.431,1.47
0.256,0.1775,0.275,0.754
0.165,0.083,0.17,0.4485
0.175,0.0755,0.175,0.4425
0.375,0.204,0.245,0.8255
0.3915,0.195,0.32,0.9525
0.6175,0.4255,0.453,1.604
0.1255,0.0575,0.1035,0.3005
0.446,0.261,0.255,0.9685
0.236,0.183,0.255,0.731
0.322,0.244,0.37,0.9765
0.447,0.207,0.265,1.018
0.3575,0.194,0.19,1.082
0.4155,0.3385,0.49,1.423
0.508,0.314,0.445,1.4155
0.289,0.1745,0.195,0.717
0.2505,0.1635,0.195,0.6355
0.1505,0.0945,0.135,0.3975
0.2455,0.171,0.205,0.656
0.203,0.082,0.13,0.447
0.191,0.1445,0.17,0.578
0.274,0.151,0.25,0.708
0.587,0.4055,0.41,1.626
0.5655,0.2385,0.295,1.1775
0.439,0.2645,0.3,1.058
0.5985,0.2565,0.495,1.5415
0.2205,0.088,0.17,0.4915
0.4315,0.263,0.255,0.9705
0.431,0.222,0.235,0.9315
0.342,0.196,0.355,0.97
0.273,0.112,0.295,0.8085
0.4405,0.192,0.39,1.053
0.488,0.244,0.345,1.1765
0.3455,0.1925,0.275,0.8765
0.3315,0.166,0.1775,0.813
0.1985,0.111,0.12,0.458
0.2845,0.153,0.225,0.712
0.479,0.3565,0.345,1.3065
0.27,0.1455,0.225,0.7105
0.1955,0.127,0.155,0.487
0.564,0.323,0.425,1.498
0.6275,0.35,0.47,1.597
0.171,0.1175,0.185,0.541
0.186,0.1025,0.21,0.541
0.0745,0.0465,0.07,0.205
0.391,0.2295,0.355,1.0905
0.2555,0.144,0.18,0.6295
0.2855,0.1975,0.23,0.772
0.2355,0.171,0.27,0.7155
0.2115,0.166,0.255,0.717
0.1815,0.157,0.225,0.6355
0.281,0.1255,0.22,0.686
0.4935,0.1855,0.263,1.016
0.5185,0.3735,0.3345,1.438
0.8225,0.3655,0.515,1.807
1.0745,0.382,0.585,2.1505
0.416,0.163,0.18,0.7745
0.3545,0.2075,0.225,0.874
0.6135,0.283,0.34,1.37
0.6865,0.313,0.547,1.759
0.758,0.3735,0.5055,1.8065
0.3525,0.1835,0.2015,0.7545
0.503,0.2105,0.2515,1.0035
0.479,0.2385,0.255,1.011
0.646,0.3115,0.37,1.382
0.713,0.282,0.4295,1.473
0.708,0.3615,0.4715,1.658
0.447,0.169,0.275,0.9585
0.4815,0.1945,0.236,0.9575
0.4025,0.208,0.275,0.926
0.3615,0.249,0.239,0.873
0.6335,0.192,0.35,1.234
0.5075,0.296,0.36,1.2255
0.539,0.292,0.35,1.2565
0.4675,0.3355,0.31,1.159
0.797,0.409,0.499,1.826
0.8195,0.331,0.437,1.7715
0.553,0.3205,0.35,1.336
0.653,0.347,0.305,1.36
0.506,0.2485,0.31,1.1
0.7465,0.4105,0.3855,1.7015
0.467,0.1975,0.35,1.073
0.684,0.3005,0.39,1.477
0.577,0.3315,0.355,1.3105
0.7365,0.3055,0.37,1.494
0.475,0.304,0.386,1.1965
0.8725,0.4565,0.475,1.907
0.844,0.3535,0.5385,1.79
0.7755,0.4225,0.48,1.7495
0.7755,0.35,0.4525,1.6645
0.531,0.189,0.209,0.9645
0.547,0.2665,0.2585,1.1
0.6185,0.302,0.3315,1.3185
0.3895,0.2225,0.271,0.914
0.4405,0.267,0.335,1.13
0.52,0.19,0.32,1.0805
0.5205,0.3085,0.347,1.2355
0.468,0.2385,0.424,1.2395
0.5725,0.281,0.43,1.357
0.642,0.3255,0.405,1.359
0.35,0.1615,0.259,0.8025
0.458,0.217,0.3,1.053
0.4255,0.263,0.2845,0.9945
0.2865,0.123,0.1765,0.615
0.37,0.239,0.249,0.887
0.531,0.261,0.296,1.0945
0.0895,0.0395,0.055,0.205
0.141,0.0775,0.12,0.3515
0.095,0.0395,0.115,0.2905
0.08,0.049,0.085,0.2255
0.0315,0.0235,0.02,0.07
0.0255,0.015,0.012,0.042
0.0175,0.0125,0.015,0.042
0.0875,0.045,0.075,0.203
0.0755,0.0255,0.045,0.161
0.2385,0.111,0.19,0.595
0.042,0.014,0.025,0.086
0.063,0.0405,0.045,0.151
0.105,0.046,0.075,0.2315
0.1485,0.0635,0.105,0.3325
0.103,0.0575,0.085,0.2535
0.081,0.0505,0.07,0.1755
0.0285,0.0235,0.03,0.073
0.1075,0.0545,0.07,0.238
0.112,0.061,0.08,0.2505
0.086,0.056,0.068,0.211
0.04,0.0205,0.028,0.0975
0.052,0.039,0.042,0.127
0.0105,0.0065,0.0125,0.0315
0.013,0.008,0.01,0.03
0.0185,0.018,0.015,0.048
0.0645,0.037,0.075,0.1785
0.06,0.0375,0.035,0.125
0.053,0.0475,0.05,0.1435
0.025,0.015,0.015,0.0465
0.092,0.06,0.15,0.22
0.109,0.067,0.12,0.315
0.1495,0.085,0.12,0.3795
0.122,0.052,0.08,0.2655
0.1265,0.07,0.11,0.324
0.1285,0.0785,0.1,0.3265
0.078,0.0485,0.07,0.205
0.0485,0.029,0.035,0.1155
0.1815,0.083,0.125,0.435
0.0485,0.032,0.04,0.124
0.001,0.0005,0.0015,0.002
0.0045,0.003,0.004,0.013
0.0025,0.002,0.003,0.008
0.0075,0.0045,0.005,0.021
0.034,0.0245,0.035,0.1
0.026,0.0105,0.02,0.0645
0.0435,0.0265,0.04,0.1275
0.063,0.039,0.06,0.1655
0.0705,0.0345,0.06,0.174
0.0635,0.0325,0.05,0.1585
0.0745,0.0415,0.07,0.1975
0.0675,0.038,0.045,0.156
0.082,0.0545,0.07,0.2135
0.0655,0.035,0.06,0.1715
0.0445,0.0245,0.026,0.095
0.0915,0.057,0.075,0.2415
0.049,0.034,0.04,0.128
0.045,0.0285,0.035,0.1105
0.039,0.0295,0.03,0.1065
0.0125,0.0095,0.011,0.037
0.007,0.005,0.005,0.0215
0.194,0.067,0.14,0.4585
0.066,0.0255,0.06,0.172
0.0425,0.022,0.03,0.0965
0.0165,0.0065,0.015,0.038
0.039,0.041,0.035,0.1055
0.097,0.053,0.08,0.251
0.073,0.0415,0.065,0.1755
0.0885,0.04,0.09,0.2255
0.0475,0.042,0.035,0.121
0.0335,0.015,0.02,0.0705
0.08,0.0555,0.055,0.2
0.092,0.074,0.09,0.2715
0.222,0.119,0.14,0.471
0.1535,0.0595,0.105,0.3215
0.1075,0.0545,0.08,0.25
0.0755,0.0535,0.07,0.1995
0.116,0.064,0.115,0.302
0.1655,0.083,0.11,0.365
0.2165,0.139,0.155,0.529
0.036,0.0235,0.035,0.101
0.037,0.02,0.03,0.092
0.122,0.0905,0.12,0.366
0.084,0.0435,0.09,0.217
0.0915,0.055,0.09,0.252
0.095,0.0525,0.085,0.2335
0.0785,0.0585,0.07,0.192
0.134,0.0325,0.085,0.2715
0.0695,0.045,0.08,0.199
0.123,0.057,0.0995,0.2965
0.026,0.018,0.025,0.0715
0.0215,0.012,0.02,0.0545
0.0255,0.02,0.025,0.0735
0.008,0.0035,0.008,0.0235
0.151,0.0645,0.1045,0.3575
0.3005,0.209,0.275,0.8735
0.439,0.245,0.34,1.1095
0.0935,0.0445,0.07,0.218
0.299,0.156,0.205,0.752
0.1845,0.1055,0.155,0.4705
0.2095,0.1225,0.145,0.4985
0.1895,0.08,0.155,0.454
0.2,0.145,0.179,0.5775
0.3695,0.2005,0.255,0.875
0.495,0.203,0.33,1.1625
0.4145,0.195,0.345,0.9885
0.335,0.1735,0.25,0.8
0.2075,0.131,0.155,0.514
0.287,0.141,0.12,0.591
0.2605,0.1665,0.16,0.6265
0.3075,0.205,0.255,0.795
0.267,0.1055,0.22,0.66
0.2705,0.179,0.17,0.659
0.245,0.132,0.168,0.581
0.1685,0.1055,0.096,0.406
0.21,0.109,0.1275,0.474
0.1975,0.0875,0.1175,0.443
0.4145,0.2,0.345,0.9665
0.4005,0.1975,0.26,0.9175
0.383,0.209,0.255,0.8865
0.376,0.171,0.245,0.806
0.216,0.133,0.115,0.4935
0.284,0.162,0.2,0.6655
0.28,0.174,0.195,0.6805
0.2865,0.1675,0.235,0.745
0.3585,0.207,0.205,0.874
0.3015,0.1825,0.3,0.8525
0.3385,0.201,0.32,0.939
0.369,0.2255,0.36,1.054
0.398,0.1965,0.25,0.926
0.2005,0.108,0.166,0.4885
0.2,0.1135,0.2235,0.5555
0.16,0.0795,0.154,0.425
0.181,0.113,0.136,0.458
0.185,0.0705,0.169,0.4775
0.2085,0.1,0.1655,0.525
0.2175,0.13,0.195,0.673
0.214,0.116,0.14,0.498
0.3845,0.185,0.265,0.944
0.223,0.1235,0.1335,0.49
0.198,0.1065,0.165,0.5225
0.1965,0.108,0.16,0.487
0.4675,0.2655,0.39,1.1785
0.12,0.084,0.105,0.347
0.193,0.105,0.155,0.4885
0.0595,0.04,0.06,0.1665
0.1845,0.099,0.145,0.466
0.5305,0.254,0.41,1.3165
0.597,0.3445,0.53,1.626
0.3055,0.1555,0.295,0.781
0.1145,0.0665,0.16,0.412
0.0885,0.0465,0.07,0.2295
0.0345,0.0205,0.025,0.0865
0.0065,0.0025,0.005,0.019
0.043,0.04,0.04,0.1285
0.005,0.0035,0.005,0.0175
0.0405,0.0245,0.032,0.1105
0.0595,0.0355,0.063,0.176
0.045,0.0275,0.0335,0.1135
0.0475,0.0205,0.03,0.1035
0.036,0.019,0.035,0.0975
0.036,0.0115,0.0245,0.0765
0.0095,0.0055,0.0085,0.0265
0.0045,0.004,0.005,0.015
0.0065,0.0055,0.005,0.018
0.2,0.123,0.17,0.521
0.102,0.038,0.085,0.244
0.021,0.0165,0.015,0.0525
0.094,0.045,0.065,0.22
0.041,0.03,0.03,0.1015
0.027,0.0125,0.018,0.067
0.0365,0.021,0.023,0.088
0.071,0.0345,0.0535,0.1715
0.0765,0.0345,0.049,0.1735
0.0735,0.04,0.0575,0.183
0.075,0.0575,0.062,0.2055
0.0655,0.048,0.054,0.18
0.1185,0.064,0.0745,0.27
0.108,0.0445,0.0735,0.24
0.097,0.0455,0.0615,0.2215
0.086,0.0585,0.0605,0.1375
0.143,0.0635,0.086,0.312
0.1215,0.063,0.09,0.2895
0.138,0.08,0.082,0.319
0.127,0.084,0.077,0.304
0.13,0.06,0.094,0.306
0.208,0.0655,0.106,0.394
0.175,0.0755,0.109,0.3735
0.1185,0.0645,0.0945,0.398
0.2435,0.084,0.1465,0.501
0.2745,0.086,0.1105,0.4895
0.1795,0.1,0.089,0.378
0.245,0.1405,0.1405,0.547
0.229,0.1185,0.172,0.5465
0.2175,0.096,0.1525,0.498
0.0165,0.012,0.0135,0.046
0.025,0.014,0.021,0.0705
0.031,0.0135,0.017,0.0665
0.0295,0.0215,0.027,0.083
0.031,0.0215,0.02,0.083
0.0345,0.025,0.0245,0.092
0.0455,0.029,0.0345,0.117
0.065,0.05,0.0385,0.1625
0.05,0.0265,0.043,0.131
0.056,0.0365,0.037,0.1385
0.062,0.031,0.037,0.141
0.0585,0.0375,0.0425,0.1485
0.053,0.0305,0.04,0.144
0.07,0.0265,0.0425,0.1575
0.0825,0.0445,0.05,0.187
0.0775,0.0305,0.0445,0.196
0.0705,0.044,0.055,0.1825
0.0945,0.038,0.0445,0.186
0.0665,0.0455,0.045,0.1785
0.104,0.0425,0.055,0.2225
0.111,0.0535,0.065,0.2455
0.1045,0.058,0.067,0.249
0.1505,0.069,0.0795,0.2865
0.084,0.06,0.055,0.215
0.124,0.037,0.07,0.251
0.155,0.0695,0.09,0.339
0.157,0.0745,0.1,0.3535
0.1635,0.061,0.091,0.3335
0.17,0.081,0.09,0.3595
0.169,0.092,0.1,0.376
0.157,0.0795,0.09,0.3435
0.164,0.096,0.1,0.382
0.1645,0.072,0.105,0.377
0.1575,0.0825,0.105,0.3645
0.217,0.087,0.095,0.425
0.1815,0.061,0.1125,0.3995
0.1825,0.078,0.1145,0.3925
0.209,0.0835,0.134,0.4495
0.148,0.067,0.105,0.35
0.1695,0.0945,0.1195,0.4195
0.191,0.127,0.137,0.478
0.197,0.093,0.1335,0.4445
0.2355,0.0855,0.1135,0.47
0.2335,0.153,0.119,0.447
0.225,0.126,0.1465,0.5325
0.2355,0.1055,0.1295,0.497
0.2325,0.093,0.115,0.4635
0.196,0.0945,0.1265,0.449
0.2315,0.0925,0.113,0.467
0.261,0.098,0.143,0.534
0.1755,0.0905,0.12,0.4415
0.2835,0.103,0.135,0.56
0.362,0.131,0.156,0.685
0.25,0.1205,0.185,0.601
0.238,0.1225,0.175,0.5785
0.3655,0.1585,0.18,0.769
0.012,0.0075,0.0095,0.029
0.018,0.006,0.011,0.0375
0.0135,0.005,0.0095,0.0325
0.0155,0.009,0.007,0.0435
0.027,0.0125,0.015,0.059
0.03,0.013,0.0215,0.071
0.0245,0.0155,0.0225,0.0685
0.0365,0.0175,0.025,0.084
0.054,0.02,0.028,0.106
0.0415,0.024,0.034,0.1075
0.0405,0.0205,0.03,0.096
0.055,0.0265,0.039,0.1255
0.065,0.027,0.039,0.151
0.0675,0.0295,0.0405,0.1415
0.09,0.0475,0.055,0.2015
0.1165,0.0265,0.0635,0.221
0.1125,0.0455,0.067,0.2345
0.1165,0.042,0.065,0.2325
0.122,0.0495,0.065,0.2485
0.194,0.053,0.087,0.348
0.172,0.044,0.093,0.32
0.1255,0.057,0.0875,0.282
0.132,0.072,0.106,0.3245
